trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,2,-74.07420607091646,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.6035055754270405}",25,0,-20.59948887128245,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.600495578812266}",25,0,-33.385338723280874,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.5975005946182375}",25,0,-65.52211500246224,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
104,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,0,-32.4625253324286,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.5915553643668151}",30,14,-23.423195936158756,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.5886049696783552}",20,0,-5.070590630517527,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.5856692901447939}",25,0,-83.91442025639823,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.5827482523739896}",20,0,-112.91221369050633,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",1
109,False,"{'a': 0.5, 'e': 0.5798417833398464}",20,15,8.621180212485523,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.5769498103804866}",25,2,-73.73520850579627,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.5740722611964361}",35,0,-66.13639893864666,"{0: 26, 1: 4, 2: 4, 3: 0, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,0,-37.029505363776586,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.5683601467575404}",30,0,-42.2956207736613,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.5655254386995371}",20,12,-53.71272451436485,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.5627048688069557}",20,1,-36.15331153951148,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.559898366565402}",20,0,-86.2131669931229,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
117,False,"{'a': 0.5, 'e': 0.5571058618121739}",30,0,-121.68630026654218,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
118,False,"{'a': 0.5, 'e': 0.5543272847345071}",20,14,-11.590294012440703,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.5515625658678298}",25,7,-67.89517883117718,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 1}",1
